Schedule,Female,Male,Unknown
"'tfrtcro/leep/a/2942', 'part2'",12,68,0
"'bk/pork/a/141764', 'parta'",5,71,0
"'tfrtcro/dido/a/121562', 'sch03'",12,70,0
"'ck/tien/a/2', 'Amendment4COMBO'",153,85,0
"'tfrtcro/leep/a/28', 'MAD'",4,74,0
"'tfrtcro/leep/a/2942', 'part1'",12,68,0
"'bk/star/b/100', 'studyparticipant'",155,73,0
"'bk/lasa/a/3630', 'part2studyschedule'",0,29,0
"'tfrtcro/rede/a/3', 'sch02_am02'",56,148,0
"'bk/herb/a/786456', 'cohort4'",8,24,0
"'tfrtcro/luci/a/11', 'G200901'",63,0,0
"'bk/bozo/a/25054', 'P1-SAD'",7,105,0
"'bk/funt/a/917', 'studysubjects'",60,73,0
"'bk/plim/a/68651', 'study'",0,110,0
"'ck/tien/a/2', 'Amendment4Cohort1'",153,85,0
"'tfcro/oaky/b/1035', 'default'",10,23,0
"'bk/sway/b/5385', 'part_2'",5,52,0
"'tfrtcro/leep/a/28', 'SAD_SI'",4,74,0
"'tfrtcro/dido/a/187220', 'part_3'",16,117,0
"'tfrtcro/tail/a/7', '18FAV1451A13'",1,2,0
"'bk/lasa/a/100055', 'a4_part2'",4,76,0
"'bk/dawn/e/31', 'DoseExpansionMCS110OBDTreatment'",0,8,0
"'bk/bozo/a/83076', 'studysubject'",15,9,0
"'bk/lasa/a/11265', 'part_b8'",3,49,0
"'bk/trek/c/62625', 'CBPR277X2101_atopic_dermatitis_2'",40,42,0
"'bk/trek/c/62625', 'CBPR277X2101_netherton_syndrome_2'",40,42,0
"'bk/trek/c/7', 'study'",8,4,0
"'tfrtcro/dido/a/242973', 'CCJM112X2202'",45,22,0
"'bk/dawn/e/31', 'DoseExpansionMCS110Treatment'",0,8,0
"'gsk/inga/a/9245', 'TAF112582_without_eye_Amendment2'",121,303,0
"'tfcro/clew/c/7500', 'part2_amm5'",5,109,0
"'tfcro/oaky/b/47496', 'studysubject'",0,0,0
"'bk/fugu/a/61410', 'studysubject'",6,0,0
"'bk/tint/b/24273', 'ACTH_test'",37,54,0
"'tfrtcro/mike/a/21', 'schedule_CA2'",2,19,0
"'bk/dawn/e/92', 'groupC'",10,34,0
"'bk/bozo/a/136212', 'Default'",30,11,0
"'bk/plim/a/137965', 'CPJMR0092202_new'",54,18,0
"'bk/star/b/93', 'healthy'",31,43,0
"'bk/star/b/93', 'statin'",31,43,0
"'bk/dawn/e/31', 'DoseExpansionZometaTreatment'",0,8,0
"'bk/bozo/a/25054', 'P2-MAD'",7,105,0
"'bk/star/b/46922', 'default'",6,2,0
"'ck/neri/b/5084', 'default'",0,0,0
"'bk/mace/a/12056', 'default'",30,78,0
"'bk/cled/f/16738', 'default'",0,0,0
"'ag/then/c/17420', 'Arm5ProtAm6'",42,61,0
"'bk/tidy/f/182607', 'c3_studysubjects'",2,8,0
"'bk/dawn43/d/17430', 'cohort9'",2,76,0
"'tfrtcro/dido/a/68', 'CPJMR0032107'",3,19,0
"'tfcro/oaky/a/12', 'studysubject'",13,23,0
"'bk/funt/a/368420', 'dosegroup3_A6'",18,26,0
"'tfcro/oaky/b/78933', 'part1_schedule'",44,49,0
"'tfrtcro/dido/a/121562', 'sch01'",12,70,0
"'bk/tint/b/51108', 'Schedule_1'",73,28,0
"'bk/nona/a/73', 'dosegroup2_A4'",15,21,0
"'ag/then/c/17420', 'Arm3'",42,61,0
"'tfrtcro/sean/a/12', 'sch02_PA1'",10,39,0
"'bk/trek/c/734', 'StudySubjects'",6,4,0
"'bk/bozo/a/15674', 'PartD'",28,77,0
"'tfcro/pega/a/33', 'default'",90,60,0
"'bk/nona/a/73', 'dosegroup4'",15,21,0
"'tfcro/esca/a/16', 'default'",86,85,1
"'da/russ/a/58465', 'StudySubjects'",28,89,0
"'bk/cled/f/245', 'Cohort_3'",0,58,0
"'bk/tidy/f/36630', 'cohort4'",0,60,0
"'ag/then/c/17420', 'Arm1'",42,61,0
"'tfrtcro/sean/a/5917', 'CCFZ533X2205'",13,2,0
"'bk/nona/a/73', 'dosegroup9_A4'",15,21,0
"'tfrtcro/bena/a/29753', 'Part1'",0,69,0
"'tfcro/pega/a/29', 'Schedule_1'",19,21,0
"'ck/tien/a/2', 'Cohort2'",153,85,0
"'da/serf/a/38284', 'main'",0,72,1
"'tfcro/gong/b/31277', 'CQAL964B2201'",0,0,0
"'ck/tien/a/2', 'Amendment7SINGLE'",153,85,0
"'bk/cled43/a/566', 'partone'",0,11,0
"'bk/vega/a/8', 'default'",5,15,0
"'tfrtcro/mike/a/19318', 'sch03'",2,16,0
"'gsk/inga/a/9245', 'TAF112582_without_eye'",121,303,0
"'bk/tidy/f/182607', 'c1_studysubjects'",1,12,0
"'gsk/inga/a/9245', 'TAF112582_with_eye_Amendment2'",121,303,0
"'tfcro/swot/a/1450', 'cohort2'",2,2,0
"'da/serf/a/28876', 'StudyParticipant'",0,0,0
"'tfrtcro/toni/a/4', 'G200802'",170,0,0
"'bk/star/b/197519', 'default'",0,0,0
"'bk/herb/a/670252', 'protocolamendment'",44,36,0
"'bk/cled/f/31', 'phase4'",16,22,0
"'tfrtcro/leep/a/39674', 'CMIJ821X2101_P2'",7,9,0
"'bk/bond/d/21', 'subsstudy'",20,69,0
"'bk/star/b/26357', 'default'",0,0,0
"'bk/sway/a/40780', 'default'",26,97,0
"'bk/funt/a/358430', 'dosegroup1_new'",2,4,0
"'bk/star/b/947', 'hypertension_patients'",11,21,0
"'bk/funt/a/368420', 'dosegroup2_A6B'",18,26,0
"'bk/plim/a/59778', 'studysubjectsgroup1245'",4,26,0
"'bk/tidy/f/472427', 'Cohort_3_IV_Dose_120mg'",16,60,0
"'tfrtcro/sean/a/130', 'Adult'",3,4,0
"'ag/then/c/17420', 'Arm2'",42,61,0
"'bk/herb/a/150467', 'studysubjects'",16,21,0
"'tfcro/swot/a/27', 'default'",28,35,0
"'tfrtcro/mike/a/1939', 'CACZ885X2202'",0,0,0
